Timestamp,Message,Elapsed Time (µs)
2024-11-20 17:05:46,Down,
2024-11-20 17:06:26,Up,39872665
2024-11-20 17:07:07,Down,
2024-11-20 17:07:46,Up,38887524
2024-11-20 17:08:27,Down,
2024-11-20 17:09:06,Up,38894231
2024-11-20 17:09:47,Down,
2024-11-20 17:10:26,Up,38930429
2024-11-20 17:11:07,Down,
2024-11-20 17:11:46,Up,38891878
2024-11-20 17:12:27,Down,
2024-11-20 17:13:06,Up,38911910
2024-11-20 17:13:47,Down,
