Timestamp,Event,Value
1735576536.0443149,CAD operativo,25202
1735576536.0539408,CAD operativo,25210
1735576536.0619452,CAD operativo,25218
1735576536.0699463,CAD operativo,25226
1735576536.0789459,CAD operativo,25235
1735576536.086397,CAD operativo,25243
1735576536.094404,CAD operativo,25251
1735576536.1029623,CAD operativo,25260
1735576536.1116233,CAD operativo,25268
1735576536.1237574,CAD operativo,25276
1735576536.1273665,CAD operativo,25285
1735576536.1363862,CAD operativo,25293
1735576536.1445699,CAD operativo,25301
1735576536.1531172,CAD operativo,25309
1735576536.16126,CAD operativo,25318
1735576536.1699777,CAD operativo,25326
1735576536.177266,CAD operativo,25334
1735576536.1852858,CAD operativo,25343
1735576536.1942956,CAD operativo,25351
1735576536.2028198,CAD operativo,25359
1735576536.2108452,CAD operativo,25367
1735576536.219265,CAD operativo,25376
1735576536.2275653,CAD operativo,25384
1735576536.2359483,CAD operativo,25392
1735576536.2440794,CAD operativo,25401
1735576536.2525403,CAD operativo,25409
1735576536.2610588,CAD operativo,25417
1735576536.2687736,CAD operativo,25426
1735576536.2777739,CAD operativo,25434
1735576536.2854047,CAD operativo,25442
1735576536.293409,CAD operativo,25450
1735576536.3029923,CAD operativo,25459
1735576536.3109908,CAD operativo,25467
1735576536.3189774,CAD operativo,25475
1735576536.3276067,CAD operativo,25484
1735576536.3356063,CAD operativo,25492
1735576536.3432693,CAD operativo,25500
1735576536.3512688,CAD operativo,25509
1735576536.3609276,CAD operativo,25517
1735576536.368366,CAD operativo,25525
1735576536.3770466,CAD operativo,25533
1735576536.3852472,CAD operativo,25542
1735576536.393498,CAD operativo,25550
1735576536.4017646,CAD operativo,25558
1735576536.4101865,CAD operativo,25567
1735576536.4183092,CAD operativo,25575
1735576536.4264398,CAD operativo,25583
1735576536.4344416,CAD operativo,25592
1735576536.443961,CAD operativo,25600
1735576536.451966,CAD operativo,25608
1735576536.4600847,CAD operativo,25616
1735576536.468719,CAD operativo,25625
1735576536.4764938,CAD operativo,25633
1735576536.4849489,CAD operativo,25641
1735576536.4931862,CAD operativo,25650
1735576536.5017016,CAD operativo,25658
1735576536.5093567,CAD operativo,25666
1735576536.5180175,CAD operativo,25675
